indice_tiempo,agricultura_ganaderia_caza_silvicultura,pesca,explotacion_minas_canteras,industrias_manufactureras,suministro_electricidad_gas_agua,construccion,comercio_reparaciones,hoteles_restaurantes,transporte_almacenamiento_comunicaciones,intermediacion_financiera,actividades_inmobiliarias_empresariales_alquiler,ensenianza,servicios_sociales_salud,otras_actividades_servicios_comunitarias_soc_personales,total
2007-05-01,1030.0,5089.0,5330.0,2271.0,3472.0,1527.0,1508.0,1233.0,2467.0,3149.0,1562.0,1170.0,1782.0,1651.0,1835.0
2007-06-01,1045.0,5034.0,5322.0,2317.0,3546.0,1553.0,1569.0,1244.0,2512.0,3194.0,1603.0,1196.0,1817.0,1693.0,1869.0
2007-07-01,1063.0,5504.0,5479.0,2355.0,3638.0,1616.0,1621.0,1263.0,2557.0,3268.0,1648.0,1207.0,1844.0,1748.0,1918.0
2007-08-01,1065.0,4232.0,6604.0,2387.0,3805.0,1686.0,1625.0,1359.0,2608.0,3384.0,1675.0,1220.0,1890.0,1778.0,1958.0
2007-09-01,1082.0,4261.0,6205.0,2425.0,3780.0,1675.0,1670.0,1375.0,2630.0,3467.0,1697.0,1240.0,1873.0,1805.0,1978.0
2007-10-01,1203.0,4151.0,6126.0,2446.0,3818.0,1760.0,1702.0,1383.0,2689.0,3512.0,1739.0,1283.0,1911.0,1859.0,2023.0
2007-11-01,1175.0,4184.0,6243.0,2509.0,3956.0,1789.0,1752.0,1392.0,2734.0,3556.0,1744.0,1319.0,1946.0,1881.0,2062.0
2007-12-01,1222.0,4555.0,6522.0,2565.0,3908.0,1846.0,1782.0,1383.0,2734.0,3677.0,1815.0,1336.0,2028.0,1908.0,2111.0
2008-01-01,1252.0,4589.0,6858.0,2616.0,3962.0,1869.0,1821.0,1394.0,2836.0,3754.0,1848.0,1366.0,2072.0,1958.0,2157.0
2008-02-01,1241.0,4353.0,6528.0,2598.0,4046.0,1898.0,1864.0,1366.0,2934.0,3880.0,1835.0,1360.0,2080.0,1950.0,2155.0
2008-03-01,1299.0,4919.0,6803.0,2698.0,4151.0,1930.0,1918.0,1444.0,2965.0,3603.0,1937.0,1523.0,2185.0,2073.0,2240.0
2008-04-01,1335.0,5625.0,7157.0,2791.0,4657.0,2088.0,2017.0,1463.0,2990.0,4375.0,2014.0,1540.0,2222.0,2125.0,2345.0
2008-05-01,1344.0,5972.0,7235.0,2881.0,4481.0,2109.0,2000.0,1601.0,3099.0,4146.0,2073.0,1580.0,2271.0,2182.0,2395.0
2008-06-01,1362.0,5553.0,7931.0,2926.0,4508.0,2088.0,2019.0,1661.0,3149.0,4146.0,2081.0,1614.0,2291.0,2228.0,2413.0
2008-07-01,1407.0,5239.0,8401.0,2990.0,4696.0,2206.0,2103.0,1720.0,3263.0,4276.0,2182.0,1629.0,2381.0,2282.0,2503.0
